Margin,Total,ID,index,County Name,County Code,Precinct name,Precinct Code,2022 Congressional,2020 Congressional,Legislative,McClellan - GLC,Reisdorf - LMN,Finstad - R,Ettinger - DFL,Write In
0,,240080,206,Freeborn,24,BATH TWP.,0080,1,1,23A,,,,,
0,,240085,207,Freeborn,24,CARLSTON TWP.,0085,1,1,23A,,,,,
0,,240090,208,Freeborn,24,CLARKS GROVE,0090,1,1,23A,,,,,
0,,240095,209,Freeborn,24,CONGER,0095,1,1,23A,,,,,
0,,240100,210,Freeborn,24,EMMONS,0100,1,1,23A,,,,,
0,,240105,211,Freeborn,24,FREEBORN,0105,1,1,23A,,,,,
0,,240110,212,Freeborn,24,FREEBORN TWP.,0110,1,1,23A,,,,,
0,,240115,213,Freeborn,24,FREEMAN TWP.,0115,1,1,23A,,,,,
0,,240120,214,Freeborn,24,GENEVA,0120,1,1,23A,,,,,
0,,240125,215,Freeborn,24,GENEVA TWP.,0125,1,1,23A,,,,,
0,,240130,216,Freeborn,24,GLENVILLE,0130,1,1,23A,,,,,
0,,240135,217,Freeborn,24,HARTLAND,0135,1,1,23A,,,,,
0,,240140,218,Freeborn,24,HARTLAND TWP.,0140,1,1,23A,,,,,
0,,240145,219,Freeborn,24,HAYWARD,0145,1,1,23B,,,,,
0,,240150,220,Freeborn,24,HAYWARD TWP.,0150,1,1,23B,,,,,
0,,240155,221,Freeborn,24,HOLLANDALE,0155,1,1,23A,,,,,
0,,240160,222,Freeborn,24,LONDON TWP.,0160,1,1,23B,,,,,
0,,240165,223,Freeborn,24,MANCHESTER,0165,1,1,23A,,,,,
0,,240170,224,Freeborn,24,MANCHESTER TWP.,0170,1,1,23A,,,,,
0,,240175,225,Freeborn,24,MANSFIELD TWP.,0175,1,1,23A,,,,,
0,,240180,226,Freeborn,24,MOSCOW TWP.,0180,1,1,23B,,,,,
0,,240185,227,Freeborn,24,MYRTLE,0185,1,1,23B,,,,,
0,,240190,228,Freeborn,24,NEWRY TWP.,0190,1,1,23B,,,,,
0,,240195,229,Freeborn,24,NUNDA TWP.,0195,1,1,23A,,,,,
0,,240200,230,Freeborn,24,OAKLAND TWP.,0200,1,1,23B,,,,,
0,,240205,231,Freeborn,24,PICKEREL LAKE TWP.,0205,1,1,23A,,,,,
0,,240210,232,Freeborn,24,RICELAND TWP.,0210,1,1,23A,,,,,
0,,240215,233,Freeborn,24,SHELL ROCK TWP.,0215,1,1,23B,,,,,
0,,240220,234,Freeborn,24,TWIN LAKES,0220,1,1,23A,,,,,
0,,280005,235,Houston,28,BLACK HAMMER TWP.,0005,1,1,26B,,,,,
0,,280010,236,Houston,28,BROWNSVILLE,0010,1,1,26B,,,,,
0,,280015,237,Houston,28,BROWNSVILLE TWP.,0015,1,1,26B,,,,,
0,,280020,238,Houston,28,CALEDONIA P-1,0020,1,1,26B,,,,,
0,,280025,239,Houston,28,CALEDONIA P-2,0025,1,1,26B,,,,,
0,,280030,240,Houston,28,CALEDONIA TWP.,0030,1,1,26B,,,,,
0,,280035,241,Houston,28,CROOKED CREEK TWP.,0035,1,1,26B,,,,,
0,,280040,242,Houston,28,EITZEN,0040,1,1,26B,,,,,
0,,280045,243,Houston,28,HOKAH,0045,1,1,26B,,,,,
0,,280050,244,Houston,28,HOKAH TWP.,0050,1,1,26B,,,,,
0,,280055,245,Houston,28,HOUSTON,0055,1,1,26B,,,,,
0,,280060,246,Houston,28,HOUSTON TWP.,0060,1,1,26B,,,,,
0,,280065,247,Houston,28,JEFFERSON TWP.,0065,1,1,26B,,,,,
0,,280070,248,Houston,28,LA CRESCENT P-1,0070,1,1,26B,,,,,
0,,280075,249,Houston,28,LA CRESCENT P-2,0075,1,1,26B,,,,,
0,,280076,250,Houston,28,LA CRESCENT P-3,0076,1,1,26B,,,,,
0,,280080,251,Houston,28,LA CRESCENT TWP.,0080,1,1,26B,,,,,
